iter	Logloss
0	0.5075974556
1	0.4137343061
2	0.3685183369
3	0.3534924751
4	0.3387200551
5	0.332818812
6	0.3253418193
7	0.3191203335
8	0.312782229
9	0.3094426129
10	0.3072613584
11	0.3047731728
12	0.3026339179
13	0.3015113924
14	0.2998249553
15	0.2975840857
16	0.2952163578
17	0.2942674376
18	0.2932776065
19	0.2922358028
20	0.2913150378
21	0.2906210984
22	0.2899344074
23	0.289343326
24	0.2878562061
25	0.2874033068
26	0.2869695384
27	0.2865797864
28	0.2856651859
29	0.2853088222
30	0.2848309299
31	0.2843861614
32	0.2837529033
33	0.2810996921
34	0.2804254442
35	0.2794622618
36	0.2792022717
37	0.27844029
38	0.2779367544
39	0.2773952779
40	0.2769061165
41	0.2766326482
42	0.2761428338
43	0.2754207543
44	0.2750188516
45	0.2743884541
46	0.2738251193
47	0.2732969675
48	0.2725267573
49	0.2708755652
50	0.2704268574
51	0.2701291089
52	0.2697036811
53	0.2692062513
54	0.2686553204
55	0.2681109535
56	0.2678582007
57	0.2675417037
58	0.2669808699
59	0.2666953297
60	0.2661738076
61	0.2658121908
62	0.2655221039
63	0.2652018412
64	0.2650883715
65	0.2644482365
66	0.2640741479
67	0.2638137771
68	0.2631233904
69	0.262673619
70	0.2623388866
71	0.2621550511
72	0.2618004205
73	0.261446171
74	0.2603003938
75	0.2598238055
76	0.2595745062
77	0.2592370946
78	0.2589500536
79	0.2587028401
80	0.2585324278
81	0.2581321021
82	0.257906636
83	0.2576923983
84	0.2573749765
85	0.2572385212
86	0.2570388257
87	0.2567416536
88	0.2564743311
89	0.256176256
90	0.2560879519
91	0.255732808
92	0.2553311728
93	0.2550668691
94	0.2549119791
95	0.2545945291
96	0.2543579089
97	0.2540354361
98	0.2538920444
99	0.2537996313
100	0.2533722451
101	0.2531491961
102	0.2528675037
103	0.25253594
104	0.2524593855
105	0.252096199
106	0.2519664263
107	0.2518213202
108	0.2515290958
109	0.2512353293
110	0.2510422537
111	0.250679717
112	0.2503334429
113	0.2501169772
114	0.2500684655
115	0.2497400368
116	0.2495364059
117	0.2492822914
118	0.2490869536
119	0.248897572
120	0.2487216767
121	0.2485030438
122	0.2483199324
123	0.2480365837
124	0.2476881744
125	0.2475595618
126	0.2470725848
127	0.2468461431
128	0.246561654
129	0.2462743841
130	0.2461104823
131	0.245746048
132	0.2455997375
133	0.2454513024
134	0.2452525699
135	0.2451822784
136	0.2448974276
137	0.2447549437
138	0.2445287624
139	0.2439674485
140	0.2435707597
141	0.2434249295
142	0.2432085458
143	0.2429530173
144	0.2428564755
145	0.2426055915
146	0.2424920196
147	0.2423755468
148	0.2421863294
149	0.2420612632
