iter	Passed	Remaining
0	113	16975
1	136	10094
2	174	8560
3	242	8865
4	286	8311
5	299	7191
6	333	6816
7	371	6588
8	408	6404
9	554	7768
10	598	7565
11	841	9674
12	997	10515
13	1115	10836
14	1176	10591
15	1295	10846
16	1359	10639
17	1394	10224
18	1453	10022
19	1511	9824
20	1565	9617
21	1615	9396
22	1644	9080
23	1679	8817
24	1714	8570
25	1731	8257
26	1748	7964
27	1861	8112
28	1884	7861
29	1910	7641
30	1930	7411
31	1962	7236
32	1994	7071
33	2014	6873
34	2101	6904
35	2128	6741
36	2149	6564
37	2166	6384
38	2180	6207
39	2201	6055
40	2220	5904
41	2244	5770
42	2259	5621
43	2285	5506
44	2301	5369
45	2326	5261
46	2343	5135
47	2356	5006
48	2392	4930
49	2453	4906
50	2481	4816
51	2507	4726
52	2539	4646
53	2563	4556
54	2584	4464
55	2620	4397
56	2637	4303
57	2657	4215
58	2672	4121
59	2706	4059
60	2747	4008
61	2768	3929
62	2786	3847
63	2809	3775
64	2839	3713
65	2867	3649
66	2883	3571
67	2934	3538
68	2957	3471
69	2969	3393
70	2985	3321
71	3003	3253
72	3037	3204
73	3067	3150
74	3106	3106
75	3148	3065
76	3167	3002
77	3206	2959
78	3225	2898
79	3242	2837
80	3264	2781
81	3295	2732
82	3310	2672
83	3327	2614
84	3347	2559
85	3374	2511
86	3393	2457
87	3409	2401
88	3423	2346
89	3445	2296
90	3476	2254
91	3512	2214
92	3531	2164
93	3555	2118
94	3581	2073
95	3609	2030
96	3626	1981
97	3643	1933
98	3660	1885
99	3674	1837
100	3690	1790
101	3704	1743
102	3721	1698
103	3760	1663
104	3791	1624
105	3810	1581
106	3829	1538
107	3854	1498
108	3871	1456
109	3884	1412
110	3896	1369
111	3917	1329
112	3946	1292
113	4054	1280
114	4081	1242
115	4111	1205
116	4152	1171
117	4178	1133
118	4214	1097
119	4248	1062
120	4267	1022
121	4307	988
122	4345	953
123	4365	915
124	4386	877
125	4437	845
126	4485	812
127	4512	775
128	4583	746
129	4612	709
130	4633	672
131	4661	635
132	4675	597
133	4698	561
134	4709	523
135	4719	485
136	4731	448
137	4742	412
138	4754	376
139	4764	340
140	4775	304
141	4798	270
142	4827	236
143	4854	202
144	4867	167
145	4880	133
146	4893	99
147	4906	66
148	4918	33
149	4933	0
